"filename", "language", "JavaScript", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\flappytupp3\classes\dbh.classes.php", "PHP", 0, 16, 0, 0, 2, 18
"c:\xampp\htdocs\flappytupp3\classes\login-contr.classes.php", "PHP", 0, 31, 0, 1, 6, 38
"c:\xampp\htdocs\flappytupp3\classes\login.classes.php", "PHP", 0, 38, 0, 5, 7, 50
"c:\xampp\htdocs\flappytupp3\classes\scores.classes.php", "PHP", 0, 38, 0, 12, 11, 61
"c:\xampp\htdocs\flappytupp3\classes\signup-contr.classes.php", "PHP", 0, 89, 0, 9, 10, 108
"c:\xampp\htdocs\flappytupp3\classes\signup.classes.php", "PHP", 0, 31, 0, 5, 7, 43
"c:\xampp\htdocs\flappytupp3\includes\login.inc.php", "PHP", 0, 11, 0, 5, 5, 21
"c:\xampp\htdocs\flappytupp3\includes\signup.inc.php", "PHP", 0, 13, 0, 5, 5, 23
"c:\xampp\htdocs\flappytupp3\index.php", "PHP", 0, 40, 0, 0, 10, 50
"c:\xampp\htdocs\flappytupp3\leaderboard.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\flappytupp3\login.php", "PHP", 0, 16, 0, 0, 6, 22
"c:\xampp\htdocs\flappytupp3\p5.js", "JavaScript", 57914, 0, 0, 29804, 5322, 93040
"c:\xampp\htdocs\flappytupp3\p5.sound.min.js", "JavaScript", 1, 0, 0, 2, 0, 3
"c:\xampp\htdocs\flappytupp3\pillar.js", "JavaScript", 22, 0, 0, 3, 0, 25
"c:\xampp\htdocs\flappytupp3\signup.php", "PHP", 0, 18, 0, 0, 6, 24
"c:\xampp\htdocs\flappytupp3\sketch.js", "JavaScript", 129, 0, 0, 27, 20, 176
"c:\xampp\htdocs\flappytupp3\style.css", "CSS", 0, 0, 63, 5, 10, 78
"c:\xampp\htdocs\flappytupp3\tupp.js", "JavaScript", 38, 0, 0, 19, 3, 60
"Total", "-", 58104, 341, 63, 29902, 5431, 93841